team_id,team,club,primary_league,grade,division,matches,rr_matches,ppg,gf_per_match,ga_per_match,gd_per_match,ladder_pos,ladder_teams,players_used,borrowed_in_apps,borrowed_in_players,gf,ga,avg_possession_pct,team_xg_per_match,team_xga_per_match,team_xgd_per_match
Pmrk9jlLNo,Elizabeth Downs Soccer Club All Age Men (Sun) Division Three,Elizabeth Downs Soccer Club,Sunday Division Three,SEN,SAASL,20,20,0.95,1.45,3.85,-2.4,4,6,29,75,11,29,77,,,,
EN2OL6YlKq,Virginia United All Age Men (Sun) Division Three,Virginia United,Sunday Division Three,SEN,SAASL,20,20,0.55,1.45,3.0,-1.55,5,6,22,0,0,29,60,,,,
jdyexPePd5,Westwood Football Club All Age Men (Sun) Division Three,Westwood Football Club,Sunday Division Three,SEN,SAASL,20,20,0.25,0.75,3.5,-2.75,6,6,44,107,19,15,70,,,,
emA12Z7QmB,Adelaide Olympic Men's Reserves SL1,Adelaide Olympic,HPG Homes State League 1 Reserves,RES,SL1,25,22,2.14,2.95,1.45,1.5,1,12,38,119,21,71,35,,,,
Ome0kLe7d0,Cumberland United Men's Reserves SL1,Cumberland United,HPG Homes State League 1 Reserves,RES,SL1,25,22,1.91,2.86,1.5,1.36,2,12,37,94,23,71,38,,,,
nmYyq183mz,Modbury Jets Men's Reserves SL1,Modbury Jets,HPG Homes State League 1 Reserves,RES,SL1,25,22,1.91,2.23,1.32,0.91,3,12,40,182,26,56,35,,,,
ld4Oa6j0KW,Cove FC Men's Reserves SL1,Cove FC,HPG Homes State League 1 Reserves,RES,SL1,25,22,1.73,1.5,1.18,0.32,4,12,24,138,12,36,31,,,,
EN2OabYBKq,Adelaide Blue Eagles Men's Reserves SL1,Adelaide Blue Eagles,HPG Homes State League 1 Reserves,RES,SL1,23,22,1.68,1.95,1.59,0.36,5,12,37,133,23,44,37,,,,
1K3YaOqGmQ,Adelaide Croatia Raiders Men's Reserves SL1,Adelaide Croatia Raiders,HPG Homes State League 1 Reserves,RES,SL1,23,22,1.68,2.23,1.91,0.32,6,12,40,165,29,49,46,,,,
PmrkxoAjNo,South Adelaide Men's Reserves SL1,South Adelaide,HPG Homes State League 1 Reserves,RES,SL1,22,22,1.32,1.64,1.45,0.18,7,12,35,147,25,36,32,,,,
8NODqEZ1KZ,Adelaide Cobras FC Men's Reserves SL1,Adelaide Cobras FC,HPG Homes State League 1 Reserves,RES,SL1,22,22,1.32,1.45,1.73,-0.27,8,12,39,91,25,32,38,,,,
pN6OaoWbK0,Adelaide Atletico VSC Men's Reserves SL1,Adelaide Atletico VSC,HPG Homes State League 1 Reserves,RES,SL1,22,22,1.18,1.95,2.14,-0.18,9,12,40,75,23,43,47,,,,
ld4OaEkrKW,Eastern United Men's Reserves SL1,Eastern United,HPG Homes State League 1 Reserves,RES,SL1,22,22,0.86,1.77,3.0,-1.23,10,12,34,79,20,39,66,,,,
4KLnq5e7mq,Fulham United Men's Reserves SL1,Fulham United,HPG Homes State League 1 Reserves,RES,SL1,22,22,0.82,1.5,2.41,-0.91,11,12,41,59,20,33,53,,,,
pN6OaE2nK0,Salisbury United Men's Reserves SL1,Salisbury United,HPG Homes State League 1 Reserves,RES,SL1,22,22,0.27,0.91,3.27,-2.36,12,12,37,131,26,20,72,,,,
jdyeg5X3d5,Adelaide Croatia Raiders Senior Men's SL1,Adelaide Croatia Raiders,HPG Homes State League 1,SEN,SL1,25,22,2.14,2.55,1.18,1.36,1,12,26,2,2,67,27,,,,
