player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3BgaBqON,2024,Adelaide City,RAA NPL Reserves; Federation Cup Reserves; RAA NPL; Australia Cup SA Preliminary Rounds,24,20,1802,2,5,1,0,0,false
1K3BgaBqON,2025,Adelaide City,Senior Men's Trials; RAA NPL; Australia Cup SA Preliminary Rounds,23,23,2101,2,5,0,0,0,false
1K3BgaBqON,2026,Adelaide City,Hahn Australia Cup SA Preliminary Rounds; RAA NPL,3,3,300,0,2,0,0,0,false
1K3Bgnp8GN,2024,Port Adelaide,Reserves Trial Matches; Senior Men's Trial Matches; Federation Cup Reserves; State League 2 Reserves; State League 2,24,22,1900,9,4,0,0,0,false
1K3Bgnp8GN,2025,Port Adelaide,Senior Men's Trials; HPG Homes State League 2 North; Australia Cup SA Preliminary Rounds; Reserves,25,19,1615,4,6,0,0,0,false
1K3Bgnp8GN,2026,Port Adelaide,Hahn Australia Cup SA Preliminary Rounds; Senior Men's Trials; HPG Homes State League 2 North,23,9,1008,3,0,0,0,0,false
1K3BgqL83N,2024,Para Hills Knights,U18 Trial Matches; Reserves Trial Matches; RAA NPL Under 18's; Federation Cup U18's,25,19,1620,1,3,0,0,0,false
1K3BgqL83N,2026,Elizabeth Downs Soccer Club,Reserves; Senior Men's Trials; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 North,19,17,1478,0,2,0,0,0,false
1K3Bo9Dr9N,2026,BOSA,Saturday Division Seven,19,13,1040,0,1,0,0,0,false
1K3Bw1MaYN,2024,The Cove FC,Master Builders SA Born to Build Challenge Cup; Sunday Division 8; Sunday Division 4 B; Sunday Division 4 A,19,16,1371,2,0,0,0,0,false
1K3Bw1MaYN,2025,The Cove FC,Master Builders Born 2 Build Challenge Cup; Sunday Division Three Reserves; Sunday Division Three; Sunday Division Seven,24,17,1366,0,0,0,0,0,false
1K3Bw1MaYN,2026,The Cove FC,Saturday Division Eight; C Team Cup,14,9,720,3,0,0,0,0,false
1K3Bw1MaYN,Winter 2023,The Cove FC,Challenge Cup; Sunday Division 6,15,9,764,1,0,0,0,0,false
1K3Bw1R37N,2024,MetroStars,Reserve Cup; Sunday Division 7; Sunday Division 3 B,17,8,725,5,0,0,0,0,false
1K3Bw1R37N,2025,Athelstone Soccer Club,Sunday Division Seven; Sunday Division Three Reserves,26,11,921,1,0,0,0,0,false
1K3Bw1R37N,2026,Athelstone Soccer Club,Sunday Division Six; Sunday Division Two Reserves,13,7,595,0,0,0,0,0,false
1K3Bw1R37N,Winter 2023,MetroStars,Reserve Cup; Sunday Division 3 Reserves; Sunday Division 7,15,5,529,4,0,0,0,0,false
1K3Bw6Y9ON,2024,Aldinga Soccer Club,Saturday Division 8,18,17,1360,0,0,0,0,0,false
1K3Bw6Y9ON,2025,Aldinga Soccer Club,Master Builders Born 2 Build Challenge Cup; Saturday Division Three Blue; Saturday Division Three Reserves Blue,27,19,1816,1,2,0,0,0,false
1K3Bw6Y9ON,2026,F.C Summit,Master Builders Born to Build Challenge Cup; Saturday Division Three Reserves Blue; Saturday Division Three Blue; Saturday Division Eight,19,14,1256,0,0,0,0,0,false
1K3BwJeYGN,2024,Adelaide Pumas Soccer Club,Saturday Division 2 B; Reserve Cup; Saturday Division 6; Saturday Division 2 A,14,5,597,0,0,0,0,0,false
1K3BwJeYGN,2025,Adelaide Pumas Soccer Club,Sportal Saturday Premier B; Saturday Division Seven; Sportal Saturday Premier A; Sportal Saturday Premier C; Reserve Cup,26,11,976,1,3,0,0,0,false
1K3BwJeYGN,2026,Pitbulls Football Club,Sportal Saturday Premier C; Saturday Division Seven,12,8,640,1,0,0,0,0,false
1K3BwJeYGN,Winter 2023,Blue City Football Club,Reserve Cup; Sunday Division 7; Sunday Division 4,8,3,240,0,0,0,0,0,false
1K3BwL17GN,2024,Adelaide University Soccer Club,Saturday Division 6; Saturday Division 2 B; Reserve Cup,22,8,665,1,1,0,0,0,false
1K3BwL17GN,2025,Adelaide University Soccer Club,Sportal Saturday Premier C; Sportal Saturday Premier B,22,5,478,0,2,0,0,0,false
1K3BwL17GN,2026,Adelaide University Soccer Club,Saturday Division Two Reserves; Saturday Division Six,15,1,157,0,0,0,0,0,false
1K3BwL17GN,Winter 2023,Adelaide University Soccer Club,Saturday Division 6,5,2,180,0,0,0,0,0,false
1K3BwMlOqN,2024,Adelaide Khukuri,Sunday Division 7,2,1,80,0,0,0,0,0,false
1K3BwMlOqN,2025,Adelaide Khukuri,Sunday Division Six; Sunday Division Two Reserves,8,6,387,1,0,0,0,0,false
